MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1,43,0
2,9,0
3,318,0
4,142,0
5,228,0
6,151,0
7,147,0
8,20,0
9,0,0
10,4,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,160,0
20,154,7
21,81,0
22,412,0
23,81,6
24,192,0
25,132,0
26,15,7
27,114,0
28,221,8
29,112,0
30,156,0
31,109,0
32,0,0
33,0,0
34,127,0
35,0,0
36,100,0
37,142,0
38,136,0
39,80,0
40,125,0
41,132,0
42,143,0
43,118,0
44,208,0
45,268,0
46,60,0
47,0,0
48,313,0
49,198,0
50,160,0
51,304,0
52,443,0
53,262,0
54,169,0
55,218,0
56,262,0
57,331,0
58,122,0
59,95,0
60,185,0
61,227,0
62,89,0
63,0,0
64,138,0
65,226,8
66,47,0
67,52,0
68,84,0
69,205,0
70,118,0
71,226,0
72,0,0
73,161,0
74,160,0
75,115,0
76,165,0
77,69,0
78,264,0
79,210,0
80,92,0
81,127,0
82,124,0
83,0,0
84,269,0
85,0,0
86,0,0
87,129,0
88,138,0
89,99,0
90,126,0
91,92,0
92,87,0
93,48,0
94,152,6
95,173,0
96,213,0
97,90,0
98,996,0
99,536,0
100,199,0
101,459,0
102,705,0
103,347,0
104,589,0
105,183,0
106,279,0
107,539,0
108,635,0
109,442,0
110,269,0
111,685,0
112,399,0
113,577,0
114,222,0
115,397,0
116,730,0
117,293,0
118,86,0
119,141,0
120,99,0
121,217,0
122,127,0
123,137,0
124,311,6
125,97,0
126,106,0
127,162,0
128,141,0
129,92,0
130,125,5
131,113,0
132,390,0
133,850,33
134,127,0
135,422,0
136,88,0
137,331,0
138,47,0
139,46,0
140,423,0
141,197,0
142,114,0
143,274,0
144,136,0
145,124,0
146,471,0
147,113,0
148,39,0
149,3,0
150,1,0
151,0,0
152,185,0
153,198,0
154,76,0
155,181,0
156,113,0
157,135,8
158,157,0
159,69,5
160,154,0
161,176,9
162,186,0
163,9,0
164,153,0
165,187,6
166,72,0
167,130,6
168,193,0
169,276,0
170,231,0
171,147,0
172,166,0
173,160,0
174,101,0
175,200,7
176,202,0
177,81,14
178,289,0
179,0,0
180,99,0
181,67,0
182,174,0
183,120,0
184,83,0
185,98,0
186,339,0
187,128,0
188,111,0
189,0,0
190,0,0
191,0,0
192,132,0
193,231,23
194,0,0
195,182,1
196,178,0
197,217,0
198,126,0
199,110,0
200,179,6
201,85,0
202,272,0
203,219,5
204,188,0
205,76,0
206,110,0
207,136,5
208,160,14
209,119,0
210,50,0
211,143,0
212,108,0
213,145,0
214,87,0
215,182,0
216,208,0
217,133,0
218,108,0
219,44,0
220,81,0
221,150,0
222,116,0
223,55,0
224,155,0
225,79,0
226,333,0
227,166,0
228,284,0
229,98,0
230,411,0
231,255,0
232,221,0
233,115,0
234,314,0
235,451,0
236,539,0
237,150,0
238,123,0
239,164,0
240,266,0
241,81,0
242,129,0
243,153,0
244,417,0
245,263,0
246,323,0
247,138,0
248,175,0
249,57,0
250,0,0
251,526,0
252,357,0
253,317,0
254,917,0
255,122,0
256,319,0
257,329,0
258,163,0
259,152,0
260,99,0
261,196,0
262,251,0
263,810,0
264,399,0
265,60,0
266,283,0
267,220,0
268,121,0
269,129,0
270,84,0
271,92,0
272,30,0
273,164,10
274,169,8
275,0,0
276,56,0
277,102,0
278,67,0
279,122,0
280,224,0
281,77,0
282,98,0
283,106,0
284,149,6
285,267,0
286,109,0
287,0,0
288,181,0
289,86,0
290,117,0
291,143,0
292,148,0
293,84,0
294,28,0
295,53,96
296,18,0
297,0,0
298,0,0
299,14,0
300,0,0
301,93,0
302,121,0
303,171,0
304,20,0
305,312,0
306,382,0
307,373,0
308,233,0
309,392,0
310,108,0
311,321,0
312,234,0
313,63,0
314,250,0
315,429,0
316,429,0
317,285,0
318,288,0
319,355,0
320,246,0
321,223,0
322,713,0
323,415,0
324,320,0
325,282,0
326,321,0
327,38,0
328,163,0
329,487,0
330,393,0
331,561,0
332,371,0
333,562,0
334,261,0
335,88,0
336,564,0
337,345,0
338,300,0
339,0,0
340,0,0
341,0,0
342,404,0
343,367,0
344,0,0
345,0,0
346,0,0
347,47,0
348,142,166
349,35,0
350,179,0
351,100,0
352,108,0
353,75,0
354,145,0
355,263,0
356,0,0
357,302,0
358,9,0
359,93,0
360,126,0
361,215,0
362,97,0
363,148,0
364,231,0
365,499,0
366,0,0
367,0,0
368,610,0
369,0,0
370,454,0
371,0,0
372,0,0
373,386,0
374,903,0
375,3,0
376,74,0
377,660,0
378,1075,0
379,860,0
380,823,0
381,751,0
382,139,0
383,122,0
384,0,0
385,579,0
386,64,0
387,409,0
388,2,0
389,136,0
390,191,33
391,386,65
392,170,0
393,275,0
394,105,1
395,280,8
396,106,22
397,124,0
398,218,0
399,4,0
400,95,0
401,266,0
402,271,0
403,211,0
404,249,0
405,128,0
406,81,0
407,226,86
408,133,0
409,327,0
410,180,0
411,0,0
412,108,0
413,158,0
414,52,0
415,170,0
416,97,0
417,373,0
418,78,0
419,93,0
420,485,0
421,839,0
422,447,0
423,229,0
424,633,0
425,509,0
426,217,0
427,491,0
428,362,0
429,628,0
430,761,117
431,433,0
432,0,0
433,92,0
434,0,0
435,168,0
436,121,0
437,118,0
438,142,5
439,139,0
440,104,0
441,197,0
442,97,0
443,44,0
444,181,0
445,98,0
446,321,0
447,0,0
448,124,6
449,0,0
450,159,0
451,72,0
452,124,0
453,109,0
454,113,0
455,49,0
456,92,0
457,99,0
458,109,3
459,0,0
460,139,0
461,94,0
462,65,0
463,0,0
464,1,0
465,141,0
466,498,0
467,629,0
468,0,0
469,143,0
470,196,0
471,164,0
472,53,0
473,182,0
474,184,6
475,66,0
476,108,0
477,150,0
478,118,5
479,91,1
480,97,5
481,51,6
482,155,0
483,492,87
484,198,0
485,0,0
486,0,0
487,255,0
488,0,0
489,0,0
490,81,0
491,258,0
492,234,4
493,161,0
494,135,3
495,77,0
496,130,0
497,179,0
498,56,0
499,101,0
500,82,0
501,179,0
502,198,0
503,146,0
504,0,0
505,0,0
506,184,0
507,167,25
