MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1,43,0
2,9,0
3,347,0
4,164,0
5,254,0
6,161,0
7,155,0
8,20,0
9,0,0
10,4,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,277,0
19,160,0
20,154,7
21,81,0
22,413,0
23,81,6
24,192,0
25,130,0
26,15,7
27,117,0
28,260,22
29,123,0
30,171,0
31,121,0
32,96,0
33,88,0
34,131,0
35,0,0
36,103,0
37,145,0
38,140,0
39,81,0
40,127,0
41,134,0
42,145,0
43,120,0
44,208,0
45,269,0
46,60,0
47,0,0
48,314,0
49,198,0
50,161,0
51,304,0
52,444,0
53,262,0
54,169,0
55,219,0
56,262,0
57,332,0
58,122,0
59,96,0
60,185,0
61,227,0
62,89,0
63,0,0
64,138,0
65,226,8
66,47,0
67,52,0
68,84,0
69,206,0
70,118,0
71,226,0
72,0,0
73,161,0
74,162,0
75,116,0
76,166,0
77,70,0
78,264,0
79,211,0
80,92,0
81,127,0
82,124,0
83,0,0
84,314,0
85,0,0
86,0,0
87,130,0
88,138,0
89,100,0
90,126,0
91,93,0
92,87,0
93,48,0
94,152,6
95,174,0
96,213,0
97,90,0
98,999,0
99,538,0
100,200,0
101,460,0
102,706,0
103,349,0
104,592,0
105,184,0
106,280,0
107,541,0
108,641,0
109,445,0
110,271,0
111,690,0
112,402,0
113,580,0
114,223,0
115,401,0
116,733,0
117,294,0
118,87,0
119,142,0
120,99,0
121,218,0
122,127,0
123,138,0
124,311,6
125,97,0
126,106,0
127,162,0
128,141,0
129,92,0
130,125,5
131,113,0
132,391,0
133,853,33
134,128,0
135,425,0
136,88,0
137,333,0
138,47,0
139,46,0
140,424,0
141,198,0
142,115,0
143,274,0
144,137,0
145,124,0
146,472,0
147,113,0
148,39,0
149,3,0
150,1,0
151,0,0
152,185,0
153,199,0
154,76,0
155,181,0
156,112,0
157,137,8
158,156,0
159,70,8
160,151,0
161,184,21
162,183,0
163,9,0
164,152,0
165,192,9
166,71,0
167,127,9
168,193,0
169,277,0
170,231,0
171,148,0
172,166,0
173,159,0
174,101,0
175,201,8
176,201,0
177,82,16
178,290,0
179,0,0
180,99,0
181,67,0
182,174,0
183,120,0
184,84,0
185,98,0
186,339,0
187,128,0
188,111,0
189,0,0
190,0,0
191,0,0
192,132,0
193,231,23
194,0,0
195,184,1
196,179,0
197,218,0
198,126,0
199,111,0
200,177,6
201,85,0
202,314,0
203,254,5
204,214,0
205,82,0
206,115,0
207,142,5
208,164,14
209,123,0
210,52,0
211,148,0
212,109,0
213,151,0
214,88,0
215,183,0
216,209,0
217,134,0
218,108,0
219,44,0
220,81,0
221,150,0
222,116,0
223,55,0
224,156,0
225,79,0
226,334,0
227,166,0
228,285,0
229,98,0
230,429,0
231,266,0
232,231,0
233,119,0
234,326,0
235,476,0
236,558,0
237,152,0
238,124,0
239,167,0
240,272,0
241,82,0
242,132,0
243,162,0
244,442,0
245,278,0
246,342,0
247,138,0
248,175,0
249,57,0
250,0,0
251,528,0
252,358,0
253,318,0
254,921,0
255,123,0
256,320,0
257,362,0
258,180,0
259,162,0
260,108,0
261,211,0
262,272,0
263,813,0
264,401,0
265,61,0
266,284,0
267,220,0
268,121,0
269,130,0
270,84,0
271,93,0
272,30,0
273,164,10
274,169,8
275,0,0
276,56,0
277,101,0
278,67,0
279,122,0
280,225,0
281,77,0
282,98,0
283,108,0
284,149,6
285,267,0
286,109,0
287,0,0
288,181,0
289,86,0
290,118,0
291,146,0
292,150,0
293,85,0
294,28,0
295,66,96
296,31,0
297,0,0
298,16,0
299,45,0
300,43,0
301,94,0
302,121,0
303,172,0
304,20,0
305,318,0
306,388,0
307,379,0
308,236,0
309,398,0
310,109,0
311,326,0
312,242,0
313,65,0
314,257,0
315,441,0
316,443,0
317,294,0
318,295,0
319,364,0
320,252,0
321,229,0
322,732,0
323,424,0
324,327,0
325,286,0
326,327,0
327,39,0
328,167,0
329,498,0
330,399,0
331,573,0
332,379,0
333,572,0
334,265,0
335,89,0
336,569,0
337,349,0
338,303,0
339,0,0
340,0,0
341,0,0
342,410,0
343,373,0
344,0,0
345,0,0
346,0,0
347,69,0
348,156,166
349,50,0
350,266,0
351,100,0
352,109,0
353,75,0
354,145,0
355,269,0
356,0,0
357,308,0
358,9,0
359,94,0
360,126,0
361,222,0
362,98,0
363,157,0
364,246,0
365,506,0
366,0,0
367,0,0
368,619,0
369,0,0
370,449,0
371,0,0
372,0,0
373,381,0
374,893,0
375,196,0
376,73,0
377,649,0
378,1061,0
379,850,0
380,833,0
381,760,0
382,141,0
383,128,0
384,0,0
385,607,0
386,68,0
387,413,0
388,219,31
389,138,0
390,195,33
391,389,65
392,172,0
393,278,0
394,106,1
395,285,8
396,121,22
397,127,0
398,223,0
399,7,0
400,97,0
401,271,0
402,274,0
403,216,0
404,251,0
405,129,0
406,82,0
407,227,86
408,134,0
409,328,0
410,181,0
411,27,0
412,109,0
413,132,0
414,52,0
415,172,0
416,97,0
417,376,0
418,79,0
419,93,0
420,489,0
421,848,0
422,453,0
423,231,0
424,638,0
425,511,0
426,218,0
427,495,0
428,412,0
429,712,0
430,769,117
431,439,0
432,0,0
433,92,0
434,0,0
435,163,0
436,118,0
437,114,0
438,161,33
439,135,0
440,103,0
441,198,0
442,98,0
443,45,0
444,182,0
445,99,0
446,330,0
447,0,0
448,130,6
449,0,0
450,161,0
451,74,0
452,125,0
453,110,0
454,115,0
455,50,0
456,91,0
457,100,0
458,119,16
459,0,0
460,138,0
461,92,0
462,65,0
463,4,0
464,5,0
465,151,0
466,538,0
467,679,0
468,0,0
469,152,0
470,209,0
471,175,0
472,53,0
473,182,0
474,184,6
475,66,0
476,138,0
477,182,0
478,148,5
479,121,1
480,100,5
481,52,6
482,159,0
483,502,87
484,231,0
485,0,0
486,0,0
487,297,0
488,0,0
489,0,0
490,81,0
491,259,0
492,235,4
493,181,0
494,156,3
495,98,0
496,145,0
497,178,0
498,56,0
499,103,0
500,82,0
501,180,0
502,199,0
503,146,0
504,0,0
505,0,0
506,184,0
507,167,25
