mgra,TAZ,hh,pop,emp_self,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_scrap_other,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,collegeEnroll,otherCollegeEnroll,AdultSchEnrl,EnrollGradeKto8,EnrollGrade9to12,PrivateEnrollGradeKto8,ech_dist,hch_dist,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,TotInt,DUDen,EmpDen,PopDen,RetEmpDen,IntDenBin,EmpDenBin,DuDenBin,POINT_X,POINT_Y,ACRES,HotelRoomTotal,mall_flag,beachAcres,geoSRate,geoSRateNm
1,2901,43,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,0.26,0,1,1,1,841743.36,586817.18,509.85,0,0,0,1,1
2,2902,9,23,0,3,1288,0,3,0,0,0,0,0,0,0,2,21,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.01,0,1,1,1,855391.38,585688.2,5677.97,0,0,0,1,1
3,2903,497,1694,0,0,0,0,0,0,0,0,0,0,0,0,53,112,0,0,0,71,68,12,0,49,0,0,0,14,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.2,0.39,13.75,0.05,1,1,1,858417.18,549491.97,85.08,0,0,0,1,1
4,2903,273,984,0,0,0,0,0,0,0,0,0,0,6,0,2,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.34,0.38,8.14,0.05,1,1,1,858468.16,552268.55,103.18,0,0,0,1,1
5,2903,383,1306,0,0,6,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,86,0,0,0,1862,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.4,0.35,11.55,0.04,1,1,1,859899.05,552160.78,72.13,0,0,0,1,1
6,2903,212,861,0,0,3,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.96,0.38,10.14,0.04,1,1,1,859712.52,550239.05,47.37,0,0,0,1,1
7,2903,196,926,0,0,0,0,0,0,0,0,18,0,2,9,2,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.6,0.58,11.83,0.08,1,1,1,859951.37,548979.1,41.75,0,0,0,1,1
8,2904,21,71,0,0,32,0,0,0,0,0,61,0,0,7,0,247,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0.01,0.23,0.04,0,1,1,1,855202.84,576558.96,1756.97,0,0,0,1,1
9,2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0.49,1,1,1,857809,570210.45,0.86,0,0,0,1,1
10,2905,4,7,0,0,449,0,0,0,0,0,445,0,613,382,37,67,0,0,3,33,32,4,0,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2098,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0.01,0.32,0.02,0.03,1,1,1,860759.4,573138.19,635.97,0,0,0,1,1
11,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0.49,1,1,1,858245.21,569857.99,0.22,0,0,0,1,1
12,2906,0,0,0,0,639,0,0,0,0,0,794,0,1093,596,46,86,0,0,0,62,56,11,0,42,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3437,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,866665.2,582510.31,742.13,0,0,0,1,1
13,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,861757.41,579948.46,0.38,0,0,0,1,1
14,2906,0,0,0,0,4,0,0,0,0,0,5,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,864829.53,579956.74,5.6,0,0,0,1,1
15,2907,0,0,0,0,545,0,0,0,0,0,677,0,932,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,864519.04,576921.95,527.67,0,0,0,1,1
16,2907,0,0,0,0,111,0,0,0,0,0,138,0,189,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,865825.65,579143.8,110.21,0,0,0,1,1
17,2908,0,0,0,0,101,0,0,0,0,0,100,0,73,38,334,617,0,0,0,442,402,75,0,303,0,0,0,88,0,0,0,0,0,0,0,0,0,0,2573,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.01,1,1,1,864972.82,572014.75,640.68,0,0,0,1,1
18,2909,1935,8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,115,0,0,0,77,94,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.16,0.37,3.71,0,1,1,1,868775.8,572177.04,281.85,0,0,0,1,1
19,2910,161,513,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.19,1.11,9.73,0.04,1,1,1,872182.69,572708.87,29.07,0,0,0,1,1
20,2910,161,564,0,0,6,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.95,1.02,6.25,0.02,1,1,1,870872.38,572765.18,25.03,0,0,0,1,1
21,2910,82,408,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.86,0.29,5.64,0.02,1,1,1,872130.87,574440.53,15.34,0,0,0,1,1
22,2910,417,1280,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,464,0,0,0,0,2521,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.72,3.81,11.96,0.32,1,1,1,871168.53,570776.74,176.65,0,0,0,1,1
23,2910,87,404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.89,0.26,6.05,0,1,1,1,870829.82,574296.63,15.05,0,0,0,1,1
24,2910,192,585,0,0,6,0,0,0,0,0,0,0,2,0,2,32,0,0,0,13,4,0,0,8,0,0,0,0,0,0,0,0,0,28,0,0,0,0,95,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.67,1.35,11.03,0.04,1,1,1,872275.55,571678.31,34.39,0,0,0,1,1
25,2910,117,510,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.1,1.01,6.53,0.03,1,1,1,871094.51,571964.8,19.43,0,0,0,1,1
26,2910,22,93,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.39,0.39,7.25,0.03,1,1,1,872168.93,573691.45,29.87,0,0,0,1,1
27,2910,129,556,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.8,0.59,5.79,0.01,1,1,1,870867.09,573621.38,25.3,0,0,0,1,1
28,2911,554,2062,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.86,0.33,6.67,0.09,1,1,1,870604.76,578508.96,71.92,0,0,0,1,1
29,2911,179,899,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.1,0.74,10.93,0.1,1,1,1,871888.39,578848.57,33.67,0,0,0,1,1
30,2911,247,1123,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.51,0.36,5.33,0.05,1,1,1,871198.5,578314.74,45.63,0,0,0,1,1
31,2911,181,855,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.24,0.7,11.56,0.08,1,1,1,871712.01,579614.54,23.89,0,0,0,1,1
32,2912,712,3371,0,0,0,0,0,0,0,0,0,0,0,0,43,81,0,0,0,58,53,10,0,40,0,0,0,12,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0.94,0.08,3.33,0.07,1,1,1,868676.6,578068.81,185.26,0,0,0,1,1
33,2912,527,2511,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,868409.69,576049.69,105.13,0,0,0,1,1
34,2913,154,587,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.53,0.2,5.05,0.06,1,1,1,872492.91,576098.48,256.96,0,0,0,1,1
35,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,93,0,0,0,66,60,11,0,45,0,0,0,13,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.69,0.27,5.36,0,1,1,1,871767.65,575210.87,46.48,0,0,0,1,1
36,2913,118,468,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.67,2.18,5.72,0.02,1,1,1,874715.5,576802.85,30.55,0,0,0,1,1
37,2914,163,589,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.33,0.62,8.19,0.03,1,1,1,871709.7,583136.62,29.85,0,0,0,1,1
38,2914,159,584,0,0,13,0,0,0,0,0,0,0,0,0,126,241,0,0,0,169,157,29,0,116,0,0,0,33,0,0,0,0,0,40,0,0,0,0,924,0,0,0,540,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.25,0.36,8.35,0,1,1,1,870630.26,583633.06,144.53,0,0,0,1,1
39,2914,88,478,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,208,0,0,0,444,762,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.07,0.68,10.84,0.07,1,1,1,871889.38,580831.44,50.49,0,0,0,1,1
40,2914,138,546,0,0,3,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.41,0.64,8.59,0.03,1,1,1,871707.79,582037.59,31.22,0,0,0,1,1
41,2914,144,549,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.63,0.61,9.69,0.02,1,1,1,870536.15,583350.71,33.46,0,0,0,1,1
42,2914,153,556,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.61,0.81,9.65,0.01,1,1,1,870539,581951.42,36.55,0,0,0,1,1
43,2914,131,635,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.5,0.76,12.77,0.09,1,1,1,870583.5,580777.04,27.49,0,0,0,1,1
44,2915,208,651,0,0,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.05,2.1,10.04,0.84,1,1,1,871295.51,587249.56,85.66,0,0,0,1,1
45,2915,273,879,0,0,3,0,0,0,0,0,5,0,12,7,28,43,0,0,0,25,82,1,0,145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.55,2.76,8.07,1.15,1,1,1,870675,586890.36,107.93,0,0,0,1,1
46,2915,60,258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.18,0.98,10.62,0.09,1,1,1,871740.64,588854.73,24.56,0,0,0,1,1
47,2915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1.68,0.97,5.46,0.07,1,1,1,869716.02,585870.94,25.22,0,0,0,1,1
48,2916,318,1054,0,0,6,0,0,0,0,0,0,0,0,64,1,11,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,136,0,0,0,0,0,160,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.93,2.02,13.2,0.72,1,1,1,873670.46,586032.06,46.83,0,0,0,1,1
49,2916,198,666,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.51,2.41,15.32,0.83,1,1,1,874066.75,586792.07,40.14,0,0,0,1,1
50,2916,163,612,0,0,4,0,0,0,0,0,0,0,0,0,262,27,0,0,0,24,28,19,0,83,0,0,0,3,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.39,1.88,10.97,0.67,1,1,1,872820.23,585905.99,29.51,0,0,0,1,1
51,2917,304,1096,0,0,0,0,0,0,0,0,0,0,1,0,5,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.19,0.56,14.06,0.03,1,1,1,873474.56,588499.36,71.21,0,0,0,1,1
52,2917,434,1511,0,0,9,0,0,0,0,0,1,0,7,3,0,14,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.96,0.89,13.18,0.04,1,1,1,876798.96,588091.56,81,0,0,0,1,1
53,2917,264,959,0,0,0,0,0,0,0,0,0,0,0,7,13,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,286,0,0,0,1436,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,1.01,13.63,0.05,1,1,1,875479.86,586645.49,78.06,0,0,0,1,1
54,2917,170,675,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.91,1.74,13.18,0.58,1,1,1,873310.27,587561.24,39.06,0,0,0,1,1
55,2917,221,855,0,0,3,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.83,0.34,9.74,0.03,1,1,1,873264.86,590108.32,45.51,0,0,0,1,1
56,2917,262,962,0,0,14,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.92,0.36,10.13,0.02,1,1,1,875432.59,589565.97,33.91,0,0,0,1,1
57,2917,335,1163,0,0,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.01,0.43,13.16,0.01,1,1,1,876603.05,589130.5,69.92,0,0,0,1,1
58,2917,122,508,0,0,0,0,0,0,0,0,0,0,10,0,1,31,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.2,0.51,14.48,0.03,1,1,1,873769.28,589652.77,49.78,0,0,0,1,1
59,2917,98,408,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,26,0,0,0,840,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.46,0.91,15.39,0.06,1,1,1,875394.62,588441.73,28.84,0,0,0,1,1
60,2917,185,751,0,0,14,0,0,0,0,0,0,0,7,0,2,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.62,0.93,12.43,0.05,1,1,1,876582.76,586283.56,39.87,0,0,0,1,1
61,2918,228,716,0,0,6,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.73,2.42,9.02,0.11,1,1,1,876108.47,581434.54,56.54,0,0,0,1,1
62,2918,91,314,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.31,1.31,7.58,0.1,1,1,1,875365.5,583195.2,24.67,0,0,0,1,1
63,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.03,2.35,10.16,0.07,1,1,1,876692.53,579998.2,3.96,0,0,0,1,1
