"MAZ","TAZ","PUMA","REGION"
1,2901,4003,26
2,2902,4003,26
3,2903,4012,35
4,2903,4012,35
5,2903,4012,35
6,2903,4012,35
7,2903,4012,35
8,2904,4003,26
9,2904,4003,26
10,2905,4003,26
11,2905,4003,26
12,2906,4003,26
13,2906,4003,26
14,2906,4003,26
15,2907,4003,26
16,2907,4003,26
17,2908,4003,26
18,2909,4003,26
19,2910,4003,26
20,2910,4003,26
21,2910,4003,26
22,2910,4003,26
23,2910,4003,26
24,2910,4003,26
25,2910,4003,26
26,2910,4003,26
27,2910,4003,26
28,2911,4003,26
29,2911,4003,26
30,2911,4003,26
31,2911,4003,26
32,2912,4003,26
33,2912,4003,26
34,2913,4003,26
35,2913,4003,26
36,2913,4003,26
37,2914,4003,26
38,2914,4003,26
39,2914,4003,26
40,2914,4003,26
41,2914,4003,26
42,2914,4003,26
43,2914,4003,26
44,2915,4003,26
45,2915,4003,26
46,2915,4003,26
47,2915,4003,26
48,2916,4003,26
49,2916,4003,26
50,2916,4003,26
51,2917,4003,26
52,2917,4003,26
53,2917,4003,26
54,2917,4003,26
55,2917,4003,26
56,2917,4003,26
57,2917,4003,26
58,2917,4003,26
59,2917,4003,26
60,2917,4003,26
61,2918,4003,26
62,2918,4003,26
63,2918,4003,26
64,2918,4003,26
65,2918,4003,26
66,2918,4003,26
67,2918,4003,26
68,2918,4003,26
69,2919,4003,26
70,2919,4003,26
71,2919,4003,26
72,2919,4003,26
73,2919,4003,26
74,2920,4003,26
75,2920,4003,26
76,2920,4003,26
77,2920,4003,26
78,2921,4003,26
79,2921,4003,26
80,2921,4003,26
81,2921,4003,26
82,2922,4003,26
83,2922,4003,26
84,2923,4003,26
85,2923,4003,26
86,2923,4003,26
87,2924,4003,26
88,2924,4003,26
89,2924,4003,26
90,2924,4003,26
91,2924,4003,26
92,2924,4003,26
93,2924,4003,26
94,2925,4003,26
95,2925,4003,26
96,2925,4003,26
97,2925,4003,26
98,2926,4003,26
99,2926,4003,26
100,2926,4003,26
101,2926,4003,26
102,2926,4003,26
103,2926,4003,26
104,2926,4003,26
105,2926,4003,26
106,2926,4003,26
107,2926,4003,26
108,2927,4003,26
109,2927,4003,26
110,2927,4003,26
111,2927,4003,26
112,2927,4003,26
113,2927,4003,26
114,2927,4003,26
115,2927,4003,26
116,2928,4003,26
117,2928,4003,26
118,2928,4003,26
119,2928,4003,26
120,2928,4003,26
121,2929,4003,26
122,2929,4003,26
123,2929,4003,26
124,2930,4003,26
125,2930,4003,26
126,2930,4003,26
127,2930,4003,26
128,2931,4003,26
129,2931,4003,26
130,2931,4003,26
131,2931,4003,26
132,2932,4003,26
133,2932,4003,26
134,2932,4003,26
135,2933,4003,26
136,2933,4003,26
137,2933,4003,26
138,2933,4003,26
139,2933,4003,26
140,2934,4003,26
141,2934,4003,26
